Date and Time Reported,City,Summary
11/22/2022 18:19,Huthwaite,Shooting lights
11/18/2022 22:46,Morpeth,Bright triangle craft
11/16/2022 18:04,Llandudno,"Criss cross, very fast then gone"
11/12/2022 03:30,Morpeth,Alien contact
11/11/2022 20:05,Hemel Hempstead,Very bright white orb
11/08/2022 20:20,"Thornton Heath, Croydon","I was driving towards home, I looked up to see the full moon, spotted a large cylinder passing through the clouds overhead."
11/06/2022 15:30,Colne,Floating potato/oval
11/01/2022 11:27,ALNESS,IT WAS HALF OF IT IN THE PICTHER THAT I GOT THERE WAS SPARKS CUMMING FROM THE TOP
10/31/2022 02:13,Colchester,Me and 2 other friends were roaming around our campus at the University of Campus when both of us spotted a blue light just race across
10/29/2022 20:05,Sheffield,Three videos taken during the time of low cloud and a discus type shape moving quickly
10/28/2022 02:30,Shrewsbury,Slow Moving Black Triangle Over Fields
10/27/2022 18:45,Southampton,Saw a large bright ship hovering above a house and by trees
10/27/2022 17:41,Gainsborough,Black smoke object then bright flashing light with orange and red lights
10/24/2022 23:50,Leamington Spa,"Orange fireball travelling from South to North at speed, no sound"
10/24/2022 09:40,Dartford,Rotating and flipping objects in the sky.
10/23/2022 21:44,Canterbury,Circle red colour
10/18/2022 15:30,London,very bright light coming and going and shifting shape
10/17/2022 22:30,Welwyn garden coty,"Looked like a star drop then fly across the sky and now it’s just sitting there, looks like a star but it’s too close and too muchlight"
10/17/2022 19:39,STOKE-ON-TRENT,The other night me and other cadets heard a humming sound we didn't know where it was coming from so we looked up in the sky and we dot
10/15/2022 22:35,Leeds,"Sphere like UAP, bright in light. Distance unknown"
10/15/2022 01:36,Chichester,Small light low down only for a few seconds and then just flew of very fast going up
10/14/2022 22:17,Scotland,No sound
10/12/2022 19:00,"Woolacombe, Minehead, gloucester",Been hounded for 3 days out in my camper
10/11/2022 19:00,Portsmouth,"Three ""fireballs"" travelling in line and equidistant. First fireball stopped, turned around, receded to tiny white light."
10/11/2022 06:00,"Lawford, Manningtree","I saw a translucent, glowing, flower shaped object, floating about 100 yards. above the ground in a field."
10/09/2022 13:34,Norwich,White looking disk appearing and disappearing
10/09/2022 01:48,Farnham,"Large circular object, which appeared to be moving very slowly."
10/05/2022 04:00,"North cave, Brough","Green light, object darting from what a normal aircraft would do."
09/27/2022 00:02,,Drawing On Door Frame
09/25/2022 02:47,Salford,Seen lights
09/20/2022 13:00,Leicester,3 objects flying in formation
09/18/2022 23:30,Blackpool,Triangular lights
09/18/2022 20:58,London,I was standing in my balcony and say one light yellow like fire ball that’s moving then disappeared and appeared 2 and vanished
09/18/2022 02:46,Swansea,Small light then disappeared
09/17/2022 16:50,Frome,It was very high in the sky and the sky was clear.
09/14/2022 14:00,Barrow-in-Furness,Walking back from Walney Island nature reserve i noticed a flash above the B.A.E.building which was too distant to see objects
09/13/2022 21:05,Manchester,Fast to slow moving
09/13/2022 19:10,Manchester,I was looking up at an aircraft high up in the atmosphere flying along leaving a vapour trail.
09/12/2022 15:30,Isle of Mull,Unexplained fling object in sky.
09/09/2022 19:05,plymouth,took a picture of the sun rising only saw the dot to the right of tge photo. zoomed in and this is what I saw
09/07/2022 17:15,Salford,Metallic disc spotted below heavy clouds
09/05/2022 05:00,Wadebridge Cornwall,Star like objects traveling at speed behind a circular shaped cloud.
09/04/2022 21:15,Cambridge,Strange Craft
09/04/2022 02:00,nr Matlock,"Behind the house the light was emitting from the clouds like search lights, white and pulsating."
09/03/2022 23:28,dunstable,look bright like a star but moved across sky
09/03/2022 20:36,Manchester,UFO no doubt about it
09/02/2022 21:45,Cardiff,"Was low in the sky, but passed me overhead"
09/01/2022 21:00,Sunderland,2 orange circle aircraft’s
09/01/2022 19:51,Dudley,"Saw it just stationary absolutely piecing white light, my son ran to get my phone"
08/30/2022 05:10,Worthing,A string of waving lights moving south east silent with a jet following a couple of miles behind the formation of lights
08/28/2022 10:30,Witham,Looked like a star during the day.
08/25/2022 22:25,Farnham,I looked up and saw a round object with flashing lights travelling very slowly
08/25/2022 21:50,Manchester,"2 objects appeared very low ,there was a gap between them ,objects moved in zigzag direction"
08/25/2022 18:30,Belfast,These are on google maps
08/24/2022 21:10,Bedworth,Bright light that dropped then rose up a bit and shot off
08/23/2022 15:00,Worsley,Taking photos of sky saw it afterwards
08/18/2022 07:23,fraserburgh,i seen it for a second and then i tried to take another photo but it was gone
08/17/2022 22:05,Waterlooville,A shape making sharp turns and emitting we think EM radiation.
08/16/2022 22:30,Enfield,12 lights all flashing on and off red and green in a grid shape
08/16/2022 22:03,Wakefield,LARGE White with mid glow cigar/rugby ball shape
08/15/2022 21:02,Canterbury (Reculver Towers),Large orange orb gliding above sea level
08/14/2022 01:48,Highbridge,"Seen a few meteorites then a string of chevron shaped lights appeared, had enough time to to get phone and photograph"
08/13/2022 22:11,Hertford,"Noticed small white dot that illuminated for a few seconds, this was followed by a further 40"
08/13/2022 01:30,High Shincliffe,I just want to be able to supply this information that is very serious to the correct people
08/12/2022 13:30,Crawley,"I looked up to see a plane, corner of my eye was an object that looked like it was following it. Soon disappeared out of thin air"
08/11/2022 21:30,West Molesey,Bright white light silently moving East to West at impossible speed back at least 6 times over 30 minute period.
08/11/2022 20:59,Leicester,Unexplainable bright object in sky
08/11/2022 20:57,Newcastle-Under-Lyme,A moving/hovering light appeared and then disappeared whilst observing
08/09/2022 23:30,London east,Pulsating light that changed colour
08/09/2022 22:22,Pennington lymington Hampshire,while walking the dog we saw a triangle craft a took a video
08/08/2022 21:18,Quinta do Lago (not major city),It looked like a sci fi ship.
08/08/2022 15:37,Cardiff,"Bright shape moving very slowly from north to south,"
08/08/2022 13:55,Woodley,The craft appeared to be a high level balloon but moved in a triangular section obviously powered .
08/08/2022 10:22,West midlands,I sighted 3 objects traveling in line high in the atmosphere.
08/07/2022 00:11,Waterlooville,4 different circles making 90 degree turns that were in a pattern but not coordinated with a weird green white glow.
08/06/2022 21:35,Warminster,Saw two circle shaped lights flying in sync for 30 minutes
08/05/2022 23:06,Liverpool,The short event I recorded shows an unexplained light moving unnaturally
08/01/2022 04:00,Thame Oxfordshire,I saw a oblong craft that was dark in colour it had orange / yellow light around its lower to centre edge moving in a 45% assent at a s
07/30/2022 01:30,Treknow,"Bright Orb, moving very slowly, changed course left in a smooth like fashion, doubled back on itself quickly, light remained but dimmed"
07/29/2022 23:00,Ipswich,2 lights round crossing each other turning fast
07/28/2022 22:30,South Shields,We watched glowing oval shape object fly past us
07/26/2022 23:15,Usk Monmouthshire south wales,Multiple sightings within ten minutes
07/26/2022 18:03,Leicester,The two UFOs stayed still in the sky and flew away.
07/25/2022 22:25,,We saw an intense white light like a star moving down in the sky for 30 seconds then disappeared then appeared again after ten seconds
07/25/2022 20:22,Epsom,Several craft flying over.
07/24/2022 19:02,Tockenham,Small silver ball
07/23/2022 18:35,Chelmsford essex,It was pretty strange. Just a black circle in the sky for 10 minutes
07/23/2022 18:00,bournemouth,The object looked like a batman shaped. It caught my attention since it was swirling and swinging very easily in the sky.
07/22/2022 00:45,Abingdon,"Saw bright light moving rapidly and changing direction in the sky. Took video of it, it was an orb that was spinning at high speed."
07/19/2022 00:00,Stafford,Spherical light descending from a high altitude.
07/18/2022 23:51,,Bright orb flying towards the east.
07/16/2022 18:49,Rugby,"Light oval/tictac shape metallic looking. High up, hovering and doing strange movements. I have a video"
07/16/2022 12:00,Tayport fife,Tic tac darting about sky
07/15/2022 13:23,Scunthorpe,2 circular objects flying West to East above park farm industrial estate in scunthorpe
07/14/2022 18:11,Skelmersdale,"We sat in a hut having a smoke and chat, I suddenly stopped and said look at that!"
07/14/2022 02:17,Merthyr Tydfil,"It looked like a star, but the stars don't shine that hard"
07/14/2022 00:55,Manchester,Back garden look up and saw bright light
07/13/2022 23:04,Stirling,"2 Lights hovering, moving after short period"
07/13/2022 01:20,Chadderton Oldham,Two vids showing swirling bright bird like image and light pulses on lawn
07/12/2022 20:00,Maidstone,Saw two spheres one behind.
07/11/2022 03:07,Earlsfield,Wobbly white disc flying low to the ground went over the river and Continued going
07/11/2022 02:23,"Washington, United Kingdom",I checked the flight radar application and there wasn't an aircraft where this object was.
07/11/2022 00:48,Blackpool,2 UFO flying weirdly over Irish Sea in strange manoeuvre disappearing and reappearing
07/10/2022 15:44,Newcastle upon Tyne,UAP FOOTAGE FROM ENGLAND
07/10/2022 01:34,Reading,Outside my home
07/09/2022 09:20,Chelston Heath,Triangle shape in the sky. The sun hit its surface which caused a flash as looked metallic.
07/07/2022 17:45,Greenford,Spherical light changing from bright to dull.
07/07/2022 02:15,Stirling,Small bright dot hovering in an unusual way with green aura being emitted and changing in size
07/03/2022 21:45,Bishops stortford,Amazing formation turning sharply
07/03/2022 21:43,Bishops stortford,Driving home saw 4 fast moving bright lights
07/02/2022 04:13,trowbridge,It was so massive I could not belive what I was seeing this was no way a man made object doing what it was doing
07/01/2022 23:00,Peterchurch,Couple of odd white starlike objects
06/29/2022 22:56,Manchester,Whilst having a cigarette in the garden we noticed 3 lights moving in the sky so got my phone out and started videoing.
06/25/2022 15:30,Lowertean,Oval at high altitude
06/21/2022 15:15,Norwich,These objects were identified in the photos after I got home from a walk
06/20/2022 23:35,Burton on trent,Looked light stars but moving fast
06/18/2022 23:45,Nantwich,"Colours changing. Bright in sky. Turquoise,red white,,yellow,green"
06/17/2022 22:19,,"Less than a second flash of light, so quick (over in less than a second) light up the whole sky white, and afterwards three green orbs."
06/16/2022 09:05,London,Oval object with multiple flashing lights displaying unusual flight pattern and an ability to hover motionlessly
06/07/2022 21:03,Cambridge,I was taking photos of the sky when i noticed a an object brighter than a star moving across the sky and changing directions.
06/06/2022 00:21,Poole,Same star like light flying through sky
06/05/2022 23:30,Poole,Light that looked exactly like a star flying through the sky
06/05/2022 19:42,Nottingham,Weirdly rotating disk object flying through sky.
06/03/2022 05:00,Castleford,Object caught in photo
06/02/2022 23:30,Romsey,4 circle white lights were circling in the sky
05/24/2022 22:37,Stansted Airport,"dark black triangle shape about the size of a football field, no lights"
05/20/2022 21:35,"Crowthorne, Berkshire",A bright light chased and overtook the ISS then quickly disappeared
05/19/2022 14:30,Charlton,"Red and White unidentified ufo.But I,m defo sure there were more hiding in the clouds"
05/18/2022 01:02,Birmingham,Large object floating away from the moon
05/14/2022 19:27,"Chesterfield, England","Clear sky, object moving rapidly in multiple directions appeared large but somewhat smaller when video taken."
05/14/2022 14:23,Chatham,Day time shining and dimming craft in the sky with others flying
05/12/2022 06:30,Whittlesey,A moving orb which went into the sky and then towards us . It never followed a straight path and moved in several directions .
05/12/2022 00:38,Liverpool,Bright ++ white light flying in a downwards direction then disappeared after approx 4 seconds.
05/08/2022 14:00,,I have video of the craft and I don’t know how to share this with the correct agency
05/07/2022 20:15,Cranleigh,There for to 2 seconds moved 2 inches then dissappeared
04/30/2022 00:07,Stockport,"Very Slow Moving to a halt, Moving from East to West"
04/30/2022 00:06,Knaresborough,Very bright light with a haze around it.
04/29/2022 23:05,Bristol,"Clear sky,both passed out of sight within seconds"
04/22/2022 20:45,Bournemouth,Just looked up and there they were 2 craft
04/21/2022 20:47,Fareham,There was a white round cloud and a bright light behind it moving at the same speed and distance.
04/21/2022 20:46,Lewes,We saw what looked like a moving cloud in a cloudless sky then a moving light appeared next to it and moved smoothly across the sky
04/21/2022 20:23,Norwich,Ball of Light pushing a cloud?
04/20/2022 16:00,Market Harborough,"Cylindrical TicTac object at distance.Its size must have been very large, very bright white, so much so & stood out against the cloud"
04/12/2022 20:00,Stoke-on-Trent,A vertical thin bright light and ufos coming out of nowhere
04/10/2022 20:00,"Thornbury, Bristol","son photos the moon, catches ufo"
04/09/2022 20:30,Gravesend,Fast Moving light in the shape and size of a star
04/09/2022 19:46,Liverpool,Flew overhead leaving a trail; then stopped at a fair distance away and stayed stationary in the air
03/27/2022 20:55,LONDON,Pulsating / morphing/ light changing object
03/26/2022 21:30,Stafford,I parked on carpark facing my property and on the sky was a strange flashing object moving across the sky. I immediately grabbed my pho
03/26/2022 20:45,Swadlincote,Bright object West to East. Clear sky went vertical roughly at 20.23
03/26/2022 20:05,Maidenhead,Light travelled across the sky high up and there was no flashing lights like you would expect to see on an aeroplane.
03/25/2022 19:52,Aberdeen,Seen looking south from postcode AB123PU
03/25/2022 19:00,Sheffield (UK/England),Regular sightings around our house
03/24/2022 17:30,Charlton (UK/England),"It looked like the largest Blue Blob of shooting Stars I,ve ever seen in my life.it went down I could see where behind Houses."
03/20/2022 14:10,Llandudno (UK/Wales),Something bright in the sky.
03/19/2022 10:10,,Sphere with reflective rectangles on floating past/below airplane as I flew from England to Scotland
03/18/2022 23:02,Village of Chawton (Hampshire)(UK/England),sighting of a very bizarre looking object in night sky near my home
03/10/2022 23:15,mexbourough,i went into garden and it was there
03/07/2022 18:26,Cardiff,Fairly large White circle/ball rising through the air but occasionally levelling out to go straight
03/07/2022 04:00,llanddudno,stagnent orange ball of light that went from small to big
03/06/2022 18:45,Bristol (UK/England),I saw a low small white very bright light moving across a clear sky for a few seconds it then appeared to flash and totally disappear
03/05/2022 22:55,Brecon,Not sure what to put in this bit.
03/03/2022 22:45,Birmingham,"It flew by landed and i watched it stay there for like 5 minutes then it flew of but left something on the floor, some kind of gun"
03/02/2022 22:19,West Bromwich,I seen it land for like 5 min then go but when i went over and seen something on floor and took it back home its like a very wired gun
02/26/2022 05:40,"BAUNTON, CIRENCESTER",Looked like a satellite initially
02/25/2022 19:28,Sunderland. Houghton le Spring,Got 1 min of footage. But event was about 3. Thing moved too fast and performed maneuvers that defy physics.
02/22/2022 17:44,Lancaster Lancashire (UK/England),Wierd line sort of shape
02/14/2022 18:00,Bristol (UK/England),2 sets of white claws forming a cirular shape that rotated fast and colapsed into nothing.
02/10/2022 16:34,Aylesbury,Flashing sphere spotted in the sky
02/05/2022 22:07,Cardiff (UK/Wales),"Two light sources, moving slowly, winked out within a second of one another"
02/04/2022 05:00,Charlton (UK/England),The 2 Green and Red Orbs that came out of the big white Orb flew from left to right in a straight line back and forth
01/31/2022 21:30,Winsford,Bright light moving
01/31/2022 06:55,Derby (UK/England),Caught on camera
01/26/2022 06:15,Shirebrook (UK/England),"This is the second time I’ve seen this. It’s a low hovering sphere of orange light. Quite big, too big to be a drone. It just hovered."
01/16/2022 18:00,Cleethorpes (UK/England),It's like nothing I have ever seen
01/14/2022 01:04,Milton Keynes (UK/England),"Triangle shape, with bright flashing lights (green and blue).it was darting left and right with fast movement diagonally."
01/08/2022 19:07,Northampton,I saw two separate sightings of golden circular fluorescent lights in the sky.
01/06/2022 19:19,Cowes,Watching Cowes live cam and we saw a light flashing erratically then a ball flashes from right to left of screen then bounces back .
01/05/2022 18:00,Aberdeen,I saw a stationery white and blue light and took photos of it. It would light up for about 5 secs then blink out. Lasted about 20 mins.
01/03/2022 02:00,"South Brent, Dartmoor National park.",I was sitting up in bed on the upper floor of my house
01/01/2022 01:00,Rugby,"2022 New Years ufo sighting UK, @1am NY day caught on phone."
01/01/2022 00:05,Flitwick (UK/England),"It’s not a very clear film. Lights in the sky, some stationary, and some moving at speed."
01/01/2022 00:00,"East Ham, London (UK/England)",Travelling from SW to NE
12/30/2021 20:39,Waterlooville (UK/England),They just appeared and flew and darted around see video. NUFOC Note: Ground-based advertizing lights? PD))
12/29/2021 23:20,Bradford (UK/England),Bright glowing ice blue and white lights then fiery orange appeared
12/21/2021 18:30,Edinburgh,Craft appeared outside my window.
12/20/2021 18:45,Studley,"I pointed to my husband, we seen it flew circles then it flew in same direction we were driving"
12/15/2021 00:45,Warrington,Silent craft flew overhead at extremely high speed. Craft seemed to be made of light or was glowing brightly.
11/29/2021 09:30,London,Pale blue/green rectangle with 8 lights
11/22/2021 02:30,Bempton Bridlington,A great experience
11/21/2021 10:49,Fleetwood,Metallic sphere caught on my phone and discovered later that day .
11/11/2021 23:55,Gloucestershire (UK/England),I was woken by a missed call at 11 29 last night lay in bed awake and saw a red saucer shape with surrounding light looked like the pla
11/11/2021 21:05,Southampton,Flashing behind clouds and cilindric flying object
11/10/2021 11:45,Ashford (UK/England),I don’t know what this was
10/30/2021 21:35,Dunbartionshire (UK/Scotland),My son seen it first and asked me what it was in the sky and I looked up and saw a triangle craft with a light at each corner and flew
10/30/2021 21:30,Loch Lomond (UK/Scotland),Triangle craft 100 feet above us
10/19/2021 15:19,Rochester,Caught on camera. Caught on camera. ((NUFORC Note: Bird in flight. PD))
10/19/2021 05:30,,Orange orb firstly sighted around 100ft in the air in the next field causing interruptions with phone light. Orb then moved to ground.
10/10/2021 23:02,Sale,Came out and noticed a bright light. Took our phone to zoom in and noticed it moving very fast and also moving up and down.
10/06/2021 11:52,Keswick,"RAF were flying down the Borrowdale Valley, I took a photo and then later spotted another aircraft flying much higher in the sky."
10/04/2021 18:00,Lambton washington,"Flashing back and forth , then reappeared as a stationary side cone shape for 2 hours or so, then disapeared"
10/01/2021 05:40,Stanlow (Wirral) (UK/England),At between 5.30 and 5.40am i was driving from chester on the M53 motorway in the u.k heading towards junction 5 Eastham. I noticed a br
09/26/2021 15:00,"Wattstown Rhondda Valleys, S.Wales",I had seen it in the corner of my eye at about 1.30 as I was leaving town. I got back about 3pm and went straight to where I saw it.
09/23/2021 22:08,Glas Eilean,Changing Yellow/Green/Red lights with fast changing direction fast in silence
09/07/2021 15:00,Liverpool (UK/England),"Vertical cylinder, slow moving but caught sunlight reflects a couple of times which is what made me look up.was travelling in a south t"
08/29/2021 23:30,Essex (UK/England),A very bright light that moved behind a “cloud” and flew off very quickly.
08/28/2021 21:12,Alton (Hampshire)(UK/England),"two blue/purple lighted craft flying next to/and near to each other in night sky at moderate speed towards the town of alton,hampshire"
08/22/2021 21:55,Chelmsford,Light moving across sky
08/19/2021 16:46,Wells next the Sea,brother in law likes to take photos of clouds and whilst doing this noticed an extremely fast moving object go
08/10/2021 10:50,Margaret (Margate)(UK/England),The object was rotating in it self and changing shapes(round). Shining polygon.
07/29/2021 16:45,Horsham (UK/England,"Daytime small glinting orbs flying in formation in Horsham, UK"
07/17/2021 02:00,Bognor Regis,"video footage taken at 0200hrs whilst ´ghost hunting´, too dark to capture surroundings. UFO acted intelligent and interested in us."
07/13/2021 18:00,,The biggest spacecraft maybe mothership
07/12/2021 15:04,Scunthorpe,Unaware at time but caught on camera
06/30/2021 21:24,Felpham/Bognor Regis (UK/England),My husband and I were on the beach at Felpham West Sussex and noticed a light appearing and disappearing in different spots.It was cons
06/05/2021 07:30,Rainhill,Brushed aluminium silver solid metallic sphere dropped from the sky and crossed directly overhead.
05/17/2021 01:23,"East Kilbride, Glasgow",Lights
05/17/2021 01:09,Wishaw,Three objects seemingly hovering in the sky join together and dissappear
04/10/2021 19:00,Merseyside (UK/England),"Mixed silver oval shape, sunlit reflexion centre right hits small cloud cover at speed and doesn't appear again!"
03/18/2021 15:11,Hinchley Wood,Black Doughnut shaped object seen in the sky.
03/12/2021 05:15,Rugby (UK/England),Strange perfect straight lights that kept formation . ((Starlink satlellites??))
03/06/2021 20:50,Tamworth (UK/England),Three unidentifiable flying objects under control and of considerable dimensions.
03/01/2021 00:00,Northwich (UK/England),the speed for this distance
02/26/2021 12:00,Littlehampton,"Fast moving silver objects, visible through Binoculars only. Heading South over English Channel"
02/21/2021 12:00,Littlehampton (UK/England),"Fast moving silver objects, visible through Binoculars only. Heading South over English Channel"
02/09/2021 00:00,Manchester (UK/England),West ham United vs Manchester United fa cup in extra time 24.57 to 24.59 just up in the corner of the penalty area a white orb appeared
02/05/2021 21:24,Chichester (UK/England),"Extremely bright white object, with faint green and red lights also. Was extremely fast and was so bright it was hard to focus on it."
02/03/2021 06:15,Derby (UK/England),Disappearing line of Star-Like Objects. ((Starlink satellites??))
01/23/2021 01:16,Leeds,Red & white spherical triangular shape object
12/31/2020 20:00,dunstable,lights seen in clouds asked them to unclock messing around but some crafts showed them self
12/31/2020 09:09,Glasgow,Saw a spaceship like aircraft hovering in the sky with green and blue lights
12/25/2020 12:30,Wolverhampton (UK/England),I was driving down newhampton road with my daughter when we seen a basketball size metallic ball floating in the sky about 50ft high. W
12/24/2020 19:36,"Glamis, Scotland",Elliptical light in thick cloud continuously going round
12/20/2020 17:25,Maidenhead,Line formation of stars moving west-east in the sky
11/26/2020 21:00,London,"I was looking at the stars as I smoked a cigarette and saw a strange flash of light. It wasn’t coming down like a shooting star, it was"
11/23/2020 17:00,Norwich,At 17:00 North in the sky over Norwich UK i witnessed 2 extremely bright orb lights White in colour which looked like they were joined
10/23/2020 06:18,Ash,Line of White Lights Moving from West to East
10/19/2020 06:15,Whitby (UK/England),UFO's on the march. ((Starlink satellites?))
10/17/2020 10:00,Newton-in-Cartmel (UK/England),Whilst driving north on A590 my wife and I observed in distance an egg shaped irregular object apparently still in the air which we est
10/05/2020 21:00,Malvern,Unexplainable rotating light pattern effect in the low cloud at night and strange loud humming sound
10/01/2020 06:30,Aberdeen (UK/Scotland),I was driving to work this morning and i noticed what i thought was a plane in the sky coming into land as it was very low but as i loo
09/27/2020 21:00,Waen-wen,Bright light in night sky that stopped above us before rapidly changing direction
09/27/2020 00:00,Brighton (UK/England),Stunning interdimensional craft with ET's inside
09/20/2020 04:00,UK/England),"At 4-5am Unexplained series of 20 + feint lights, in line, very high in the sky moving very fast."
09/08/2020 03:50,Telford (UK/England),Heavy landing. .Extremly bright white light.. No sound. Lifted singly off the ground. Strong pulse on leave that affected my printer.
08/30/2020 21:51,Newcastle upon Tyne (UK/England),recorded on ring door bell camera
08/20/2020 01:50,Ilkeston,Triangle hovered past my house
08/18/2020 02:30,Brighton (UK/England),4 x bright lights moving in line slowly across the hills. After approx 1 minute 2 of the lights moved forward then back behind instantl
08/15/2020 09:14,Dymchurch,I was recording the clouds during a thunderstorm and noticed an object moving erratically.
08/12/2020 22:00,East Kilbride,Disk shaped object that was hovering behind the trees on the golfcourse only a few feet above the ground.
08/11/2020 23:34,Liverpool (UK/England),"Dog walking, watching lightning.... no thunder sound and photographed a UFO"
08/11/2020 22:36,Alton Hampshire (UK/England),two stationery circular red lights in the sky flashing on/off before slowly moving away and out of sight.
08/10/2020 23:09,Liverpool (UK/England),I was walking my dog very close to Liverpool john Lennon airport on the 10th of August 2020. I remember it was so strange as there was
08/08/2020 21:05,Ashford,Bright white light in sky turning red
08/01/2020 01:00,Reading (UK/England),"Huge, triangular craft"
07/22/2020 00:10,Washington (UK/England),"UFO traveling from West to East, Washington,UK."
07/22/2020 00:10,Washington,"UFO traveling from West to East, Washington,UK."
07/20/2020 22:00,Birmingham (UK/Wales),Bus sized craft moving overhead at about 20 miles an hour. Silent with rear facing triple powerful lights still in view 20 min
07/15/2020 20:00,Bury st Ed munds (UK/England),There’s no way these three craft were made by man.
07/13/2020 01:40,Swindon (Wiltshire)(UK/England),"Bright light deploys some sort of Drone and disappears in mili-seconds, have recording of event"
07/01/2020 03:00,London (UK/England),"On July 1st 2020 i saw six, white pinpoint lights moving from west to east over east london. ((Starlink satellites?))"
06/23/2020 02:45,Tilbury (UK/England),The neighbour has a dogs both German Shepard's were howling as this happened and then they started to bark.
06/22/2020 01:27,Bedford (UK/England),((HOAX??)) Alien invasion possibility
06/21/2020 18:20,Dymchurch,Orb seen in sky
06/02/2020 02:53,"Brampton Bierlow, rotherham","It was like a orange fire ball, with white things kept coming out and going back in. Also the photos show an alien face looking over tr"
05/30/2020 20:40,New Brighton (UK/England),Was outside attempting to see dragon space-x flyby.and noticed a black spherical object flying westwards.roughly 15000ft in altitude .o
05/30/2020 20:40,Liverpool (UK/England),"Bright object changing shape, stationary + moving , rocket motor firings visible. Clear sunny evening."
05/30/2020 20:20,Glasgow (UK/Scotland),"Was looking out for space x falcon flying past. 15 minutes after launch,but what I saw was an sphere shape object travelling from East"
05/29/2020 23:45,London (UK/England),3 Lights linear formation close together moving over and away with sharp vertical incline appeared and then a few seconds disappeared
05/28/2020 23:03,Wembley,"Yellow light seen in the direction of Venus, moving right slowly across the sky before disappearing, reappeared consecutive night"
05/28/2020 01:03,London,Streak of light with irregular bounce caught on security camera with audible clack
05/24/2020 11:00,Wednesbury Westmidlands uk,Triangle type shape with colours type of lights red amber and bright white and green lights emitted from craft turned red before moving
05/21/2020 15:39,Bury,White lights that were blinking and started moving in multiple directions before flying away.
05/18/2020 13:54,Chislehurst (UK/England),"I was hoping to photo birds of prey ,but I noticed a thin grey pencil line in a clear sky ,so I took two photos on my phone ,when I loo"
05/16/2020 22:03,Ipswich (UK/England),UK sighting. Pulsating/ exploding orb which changes speed and direction
05/15/2020 00:00,York,"Five dull lights flying through the clouds at speed,rigid v formation which made me believe it was lights from one vehicle untill a cou"
05/11/2020 00:00,Ipswich,"High speed bullet shaped object with one bright light, which stopped and shot off horizontally."
04/22/2020 22:56,London,This object appeared over two evenings and was clear to the naked eye and I wanted to record what it was and captured some images
04/19/2020 22:10,Darlington (UK/England),Line of lights in the sky. ((Starlink satellites))
04/19/2020 21:40,Leicester (UK/England),Looked out of bedroom window before turning in to bed and noticed 2 white stars close together but moving. ((Starlink satellites))
04/19/2020 20:00,Weymouth (UK/England),Long line of star shaped objects in equal distance travelling across the sky from Se to Ne. ((Starlink satellites))
04/19/2020 10:15,Colchester,"Silver tear drop shape, approx 1000ft up, either static or matching speed of moving traffic then shot off in split second. Instantly."
04/08/2020 22:00,Newcastle upon Tyne,"Silver/grey seemed to be slightly illuminated. It moved quickly but not in a streat line, sort of side to side then disappeard in to th"
03/29/2020 20:40,Bristol (UK/England),"Bright light first attracted us, followed by white dots in formation equally spaced apart. ((""Spacelink"" satellites??))"
03/16/2020 19:35,Milton Keynes (UK/England),"Trail of lights over Milton Keynes. ((""Starlink"" satellites??))"
03/15/2020 23:20,"Colemore (Village of), Hampshire (UK/England)",long line of very mysterious looking lights seen on the ground in isolated farmland/countryside in rural location late at night
03/12/2020 04:45,Bexhill-On-Sea (UK/England),Loads of stars going across the night sky. ((Starlink satellites))
03/08/2020 05:00,London (UK/England),"Seen moving 'stars' all moving in the same direction, similar speed, same path across the sky. ((Spacelink satellites))"
02/26/2020 05:12,London (UK/England),Triangle shape partially cloaked or invisible craft with three large domed circular lights underneath
02/12/2020 06:03,Telford (UK/England),"In total in one straight line with the same distance between them. ((""Starlink"" satellites??))"
02/04/2020 05:30,London (UK/England),Line of white lights.
01/25/2020 18:12,Belfast (near)(Northern Ireland),Very bright green and red lights.
01/21/2020 08:45,Peterhead (UK/Scotland),UFO over North Sea Punched Hole in Blue Sky.
01/11/2020 23:00,Dingwall,Orange ball of light.
01/10/2020 07:45,Bude (UK/England),"Large black craft hiding within thick, dark clouds"
01/10/2020 06:50,Bridgend (UK/Wales),"It was around 06:50 and as I carry out my morning routine, I went out the back garden to have a cigarette when the object caught my eye"
12/31/2019 18:15,Kingston upon Hull (UK/England),"There were 100 plus of them all in a perfect straight line. ((""Starlink"" satellites??))"
12/30/2019 21:50,"Chew Stoke, Bristol (UK/England)",Star like light in sky changing directions and speeds frequently
12/29/2019 18:30,Longwick (UK/England),"Just very strange just keaped coming didn’t think they were going to stop. ((""Starlink"" satellites??))"
12/29/2019 18:19,Liverpool (UK/England),"We saw about 15 lights in a straight line equal formation and moving in the same direction. ((""Starlink"" satellites??))"
12/14/2019 20:35,Wigan,Cylindrical type object with coloured lights.
12/05/2019 05:45,Arclid,White circles to the right of a star. All in a straight line moving east one after another. Every now and then there would be odd ones
12/04/2019 06:20,Llanasa (UK/Wales),"Moving 30-40 lights in a linear movement in sincrenisation as being as stars. ((NUFORC Note: ""Starlink"" satellites?? PD))))"
12/03/2019 06:15,Wirral (UK/England),Like a moving stars all 20 in a straight line no sound moving at speed of an areo plane. ((NUFORC Note: Starlink satellites? PD))
12/02/2019 17:45,Norwich (UK/England),"Lost time, went missing"
